from_State,from_Division,from_Latitude,from_Longitude,to_State,to_Division,to_Latitude,to_Longitude,distance_metres,time_minutes
NSW,Bradfield,-33.732,151.146,NSW,Mitchell,-33.710,150.960,29756,1918
NSW,Bradfield,-33.732,151.146,NSW,New England,-30.319,151.315,477623,20911
NSW,Bradfield,-33.732,151.146,NSW,Newcastle,-32.841,151.753,154531,6795
NSW,Bradfield,-33.732,151.146,NSW,North Sydney,-33.816,151.184,14251,915
NSW,Bradfield,-33.732,151.146,NSW,Page,-29.275,152.804,662796,26470
NSW,Bradfield,-33.732,151.146,NSW,Parkes,-30.887,147.373,620068,26669
NSW,Bradfield,-33.732,151.146,NSW,Parramatta,-33.809,151.011,26645,1733
NSW,Bradfield,-33.732,151.146,NSW,Paterson,-32.40694,151.91806,200754,8811
NSW,Bradfield,-33.732,151.146,NSW,Reid,-33.853,151.084,18198,1610
NSW,Bradfield,-33.732,151.146,NSW,Richmond,-28.511,153.363,767332,31197
NSW,Bradfield,-33.732,151.146,NSW,Riverina,-34.427,146.700,538868,20212
NSW,Bradfield,-33.732,151.146,NSW,Robertson,-33.382,151.213,50024,2363
NSW,Bradfield,-33.732,151.146,NSW,Shortland,-33.112,151.617,109912,5058
NSW,Bradfield,-33.732,151.146,NSW,Sydney,-33.895,151.200,26218,1804
NSW,Bradfield,-33.732,151.146,NSW,Warringah,-39.076120,125.816959,NONE,NONE
NSW,Bradfield,-33.732,151.146,NSW,Watson,-33.908,151.077,24320,2011
NSW,Bradfield,-33.732,151.146,NSW,Wentworth,-33.883,151.253,26739,1831
NSW,Bradfield,-33.732,151.146,NSW,Werriwa,-33.981,150.843,70711,3298
NSW,Bradfield,-33.732,151.146,NSW,Whitlam,-34.534,150.552,155592,6654
NSW,Bradfield,-33.732,151.146,NSW,Sydney Airport,-33.940248,151.175186,34416,2141
NSW,Calare,-33.306,148.922,NSW,Chifley,-33.735,150.838,231614,11866
NSW,Calare,-33.306,148.922,NSW,Cook,-34.031,151.100,285218,14208
NSW,Calare,-33.306,148.922,NSW,Cowper,-30.384,152.870,671524,28526
NSW,Calare,-33.306,148.922,NSW,Cunningham,-34.259,150.916,308099,15264
NSW,Calare,-33.306,148.922,NSW,Dobell,-33.248,151.366,334015,16326
NSW,Calare,-33.306,148.922,NSW,Eden-Monaro,-36.292,149.344,413941,18658
NSW,Calare,-33.306,148.922,NSW,Farrer,-32.501,143.311,676624,30040
NSW,Calare,-33.306,148.922,NSW,Fowler,-33.900,150.877,249121,12382
NSW,Calare,-33.306,148.922,NSW,Gilmore,-35.067,150.398,334104,15603
NSW,Calare,-33.306,148.922,NSW,Grayndler,-33.897,151.148,266430,13501
NSW,Calare,-33.306,148.922,NSW,Greenway,-33.733,150.913,237656,12055
NSW,Calare,-33.306,148.922,NSW,Hughes,-33.992,150.975,268508,13392
NSW,Calare,-33.306,148.922,NSW,Hume,-34.409,149.045,174120,7751
NSW,Calare,-33.306,148.922,NSW,Hunter,-32.375,150.778,358846,15119
NSW,Calare,-33.306,148.922,NSW,Kingsford Smith,-33.949,151.231,289707,14061
NSW,Calare,-33.306,148.922,NSW,Lindsay,-33.751,150.711,219495,11410
NSW,Calare,-33.306,148.922,NSW,Lyne,-31.602,152.277,597878,27477
NSW,Calare,-33.306,148.922,NSW,Macarthur,-34.065,150.764,274391,13158
NSW,Calare,-33.306,148.922,NSW,Mackellar,-33.669,151.253,279752,14283
NSW,Calare,-33.306,148.922,NSW,Macquarie,-33.475,150.642,212607,11323
NSW,Calare,-33.306,148.922,NSW,McMahon,-33.837,150.859,241263,11881
NSW,Calare,-33.306,148.922,NSW,Mitchell,-33.710,150.960,237792,12386
NSW,Calare,-33.306,148.922,NSW,New England,-30.319,151.315,543419,22893
NSW,Calare,-33.306,148.922,NSW,Newcastle,-32.841,151.753,407834,19375
NSW,Calare,-33.306,148.922,NSW,North Sydney,-33.816,151.184,266313,13151
NSW,Calare,-33.306,148.922,NSW,Page,-29.275,152.804,790731,34706
NSW,Calare,-33.306,148.922,NSW,Parkes,-30.887,147.373,373893,15215
NSW,Calare,-33.306,148.922,NSW,Parramatta,-33.809,151.011,254356,12571
NSW,Calare,-33.306,148.922,NSW,Paterson,-32.40694,151.91806,454057,21391
NSW,Calare,-33.306,148.922,NSW,Reid,-33.853,151.084,259142,12738
NSW,Calare,-33.306,148.922,NSW,Richmond,-28.511,153.363,897705,39542
NSW,Calare,-33.306,148.922,NSW,Riverina,-34.427,146.700,301405,11755
NSW,Calare,-33.306,148.922,NSW,Robertson,-33.382,151.213,303326,14943
NSW,Calare,-33.306,148.922,NSW,Shortland,-33.112,151.617,363215,17638
NSW,Calare,-33.306,148.922,NSW,Sydney,-33.895,151.200,271791,14189
NSW,Calare,-33.306,148.922,NSW,Warringah,-39.076120,125.816959,NONE,NONE
NSW,Calare,-33.306,148.922,NSW,Watson,-33.908,151.077,263119,13060
NSW,Calare,-33.306,148.922,NSW,Wentworth,-33.883,151.253,278801,14066
NSW,Calare,-33.306,148.922,NSW,Werriwa,-33.981,150.843,261351,12860
NSW,Calare,-33.306,148.922,NSW,Whitlam,-34.534,150.552,311007,14576
NSW,Calare,-33.306,148.922,NSW,Sydney Airport,-33.940248,151.175186,284960,13716
NSW,Chifley,-33.735,150.838,NSW,Cook,-34.031,151.100,59676,3229
NSW,Chifley,-33.735,150.838,NSW,Cowper,-30.384,152.870,531420,20484
NSW,Chifley,-33.735,150.838,NSW,Cunningham,-34.259,150.916,82558,4286
NSW,Chifley,-33.735,150.838,NSW,Dobell,-33.248,151.366,105873,4911
NSW,Chifley,-33.735,150.838,NSW,Eden-Monaro,-36.292,149.344,417150,17036
NSW,Chifley,-33.735,150.838,NSW,Farrer,-32.501,143.311,968517,40796
NSW,Chifley,-33.735,150.838,NSW,Fowler,-33.900,150.877,23579,1403
